Person,Payment Card Number,Bank_Account_Number,IFSC,UPI_ID
Uthkarsh Bera,5088-1435-9708-0649,2988767772665790,ADCC0000072,madhup05@upi
Saksham Sekhon,3563-5714-0704-7987,14417747176609,ADCC0000073,dishaniborde@upi
Riya Bhandari,3569-1911-2513-8507,486988533207192,ADCC0000074,aayushtoor@upi
Indranil Toor,5089-7669-6663-9394,3578658169137550,ADCC0000075,heergarde@upi
Samiha Ghosh,3563-4030-9017-6693,559584999111111,ADCC0000076,gkar@upi
Ritvik Majumdar,3531-4934-3000-3979,55494739424253,ADCC0000077,srinivasananahi@upi
Sana Rajagopal,8163-9968-7615-3573,355563595025245,ADCC0000078,indrajit15@upi
Misha Dayal,6064-3490-0027-9308,545340650479841,ADCC0000079,rasha12@upi
Yashvi Rana,8231-2626-5309-0704,77198677748504,ADCC0000080,amanitoor@upi
Alia Sant,3534-4351-1287-5387,62116914774051,ADCC0000081,nitya55@upi
Anahi Rajagopal,8276-3234-8886-6779,94235317738624,ADCC0000082,eshani91@upi
Baiju Yadav,5083-7658-2195-1263,476722449065180,ADCC0000083,anahitaraj@upi
Hrishita Raj,6024-2430-2151-8837,61616777100304,ADCC0000084,gatikcheema@upi
Eshani Bedi,3530-5643-8866-8111,92729045733867,ADCC0000085,kabirchana@upi
Shlok Garg,8217-2580-8539-3151,3556559847731700,ADCC0000086,sethipurab@upi
Miraan Manda,8126-8050-5746-1000,45615660875559,ADCC0000087,nayantara58@upi
Manjari Bora,3563-4662-3858-8566,611295056952924,ADCC0000088,bahltrisha@upi
Mannat Tiwari,8213-4803-2123-4494,65362817451729,ADCC0000089,kallanirvi@upi
Diya Vohra,6034-1737-3519-1084,39621433860386,ADCC0000090,diya31@upi
Anahita Bhagat,3567-2618-8201-7954,72427970279720,ADCC0000091,ddeep@upi
Kiara Venkataraman,5087-7115-8302-5595,75497990147329,ADCC0000092,ritvik65@upi
Sara Doctor,3534-8776-8166-8695,2267521659897670,ADCC0000093,soniishaan@upi
Lakshay Jain,8112-6961-2879-5591,62836265789792,ADCC0000094,walidarshit@upi
Vihaan Dugar,5085-7402-8944-8514,293591878230418,ADCC0000095,nehmatbhatti@upi
Charvi Chatterjee,8234-1896-2554-8526,43988754081308,ADCC0000096,sridharjayan@upi
Madhup Sachdev,6502-1957-2088-3154,249874320845517,ADCC0000097,aradhyasavant@upi
Lakshit Krishnamurthy,3531-5044-0697-1666,41825743041570,ADCC0000098,basunishith@upi
Lavanya Kohli,3566-0049-3587-8605,877587791602704,ADCC0000099,kimayasule@upi
Tejas Dara,8159-9110-5538-9134,827143808248933,ADCC00000SC,randhawaalia@upi
Nirvi Divan,8136-2189-5208-3234,883298814470237,ADCC0000100,akarshkalita@upi
Aarav Tara,6097-9243-6546-6145,589237983267680,ADCC0000101,ravisahil@upi
Jayan Gola,6084-6761-4974-2598,65517413328980,ADCC0000102,prisha31@upi
Trisha Kibe,8118-5130-5129-1833,34967075173557,ADCC0000103,umang90@upi
Yuvaan Bir,8121-7522-4329-3589,348333258993837,ADCC0000104,lalasana@upi
Adira Sant,3530-0265-5174-1471,138649611747523,ADCC0000105,fdayal@upi
Mehul Bhardwaj,3533-7247-3618-9973,615468213553262,ADCC0000106,bordeadira@upi
Hunar Deep,3563-5466-4800-8386,3142345998365360,ADCC0000107,sairawalla@upi
Kabir Gola,8231-2114-6108-0795,946978279761579,ADCC0000108,shlok90@upi
Zain Hora,3561-7778-0414-0729,6853352980858080,ADCC0000109,tbasu@upi
Emir Comar,3564-4106-2397-5979,796921175881508,ADCC0000110,dhruvsheth@upi
Faiyaz Tank,8226-2951-6074-0012,9257847186479870,ADCC0000111,priyanshdeshmukh@upi
Anahita Iyengar,6018-4545-9178-0198,662167787890480,ADCC0000112,hanshkuruvilla@upi
Taimur Kaul,8118-3494-6345-4762,351549137236981,ADCC0000113,stuvan15@upi
Nitya Kant,3530-2208-5975-3003,73684237352404,ADCC0000114,devanshchandran@upi
Jayan Shetty,3530-0839-1737-1048,731787068723801,ADCC0000115,sahilcontractor@upi
Hiran Sarma,3568-5026-1834-6608,8759836122773050,ADCC0000116,csolanki@upi
Yasmin Vora,6006-7172-1360-7583,44564292722889,AHDC0000001,piya62@upi
Akarsh Dora,5084-3643-4904-4360,68498273931707,AHDC0000002,samarthagrawal@upi
Anika Bera,8121-0291-3516-0477,8899271003305810,AHDC0000003,wasonkaira@upi
Chirag Chakrabarti,6020-2392-8700-0142,61465538102514,AHDC0000004,bathela@upi
Aaryahi Sahota,6521-1880-5748-6193,8691347216791410,AHDC0000005,aaryahijani@upi
Anahi Bera,3536-8632-1641-6204,875559792943609,AHDC0000006,samradhanuk@upi
Eva Gaba,3537-5269-1308-2103,4114934124251210,AHDC0000008,taimurmanne@upi
Drishya Kalla,8180-5575-2518-2162,3544753949065750,AHDC0000009,neysa42@upi
Madhup Kuruvilla,8113-9665-7333-5774,1935518225907090,AHDC0000010,chanamyra@upi
Emir Sathe,6045-2864-3956-1035,4281128960407830,AHDC0000011,prerakzacharia@upi
Ivana Bobal,6054-1851-7099-4306,916523524422000,AHDC0000012,takurvi@upi
Nehmat Doctor,6096-9308-5031-8155,925751126638119,AHDC0000013,sastrysaira@upi
Alisha Lata,8203-4568-8068-1319,331482044078126,AHDC0000014,hansh17@upi
Kavya Bava,3569-8057-6066-6338,34995515148213,AHDC0000015,jivika40@upi
Hunar Sen,3539-9465-2733-2173,46433155127341,AHDC0000016,aainarao@upi
Arhaan Ravi,5081-2113-8841-6855,713570688169805,AHDC0000017,bsawhney@upi
Raunak Jhaveri,6551-0336-5255-0188,2597933766065530,AHDC0000018,lkrish@upi
Purab Cheema,6573-9097-1107-7905,151461089499895,AHDC0000019,xmahal@upi
Himmat Batra,3566-2544-2613-7314,127823549730825,AHDC0000020,hazelraman@upi
Eva Bath,8274-9834-6026-9052,41196716207399,AHDC0000021,chadrhea@upi
Jayan Krishna,8131-1300-4026-4988,3725332815757340,AHDC0000022,sarnamishti@upi
Bhamini Sibal,3536-4493-0909-9493,83569380517914,AHDC0000023,grandhawa@upi
Dhanuk Brahmbhatt,3566-4384-9473-6939,648256951922706,AHDC0000024,wbakshi@upi
Ehsaan Joshi,6577-7940-4415-0983,829824638662261,AHDC0000025,hayerishaan@upi
Nayantara Manne,3569-0473-6214-4261,382298926536795,AHDC0000026,ivanyogi@upi
Prisha Andra,3562-2391-5459-8120,65478342400342,AHDC0000027,doraindranil@upi
Mannat Wali,8126-5406-7054-5281,72961945374311,AHDC0000028,manimanjari@upi
Neelofar Sharma,8187-5338-6344-0689,94575908024403,AHDC0000029,kakarzeeshan@upi
Anika Sani,8273-4841-9715-0245,44467287847980,AHDC0000030,indranilmallick@upi
Emir Tiwari,3538-4203-9746-8062,16623238260090,AHDC0000031,sainivaibhav@upi
Aayush Vasa,3532-1013-7075-8002,4431439749975520,AHDC0000032,vedika71@upi
Ela Hayre,3531-8738-2138-9980,66558643493788,AHDC0000033,samipari@upi
Zara Sha,6588-8979-0586-9190,9199641200928480,AHDC0000034,divij96@upi
Anahi Hora,5086-4773-2839-7647,8842397509547180,AHDC0000035,anahijain@upi
Kashvi Mangal,8125-9470-5867-5542,985533060553273,AHDC0000036,keermohanlal@upi
Jivika Gopal,6027-2119-1072-0126,4614652633885140,AHDC0000037,chaudryhridaan@upi
Raunak Jayaraman,8184-3116-9730-5011,2258667095090170,AHDC0000038,zgola@upi
Charvi Borde,5088-4105-7715-7030,883169547962798,AHDC0000039,shamik63@upi
Divit Manda,3564-6348-3818-8694,1729620104661240,AHDC0000040,zoyabalakrishnan@upi
Shlok Sood,6012-5021-4373-7706,199423398011242,AHDC0000041,chandranrhea@upi
Dhanush Chokshi,6596-4835-2398-6441,3275410554910580,AHDC0000042,yzachariah@upi
Sahil Ramanathan,3568-0594-9393-5872,9196543393523120,AHDC0000043,neelofarmalhotra@upi
Dishani Dhar,3530-8620-1689-5126,496384024599743,AHDC0000044,sdin@upi
Yashvi Dey,3533-7786-5585-0833,998848180170978,AHDC0000045,azaddas@upi
Riaan Lal,8255-2313-5297-3412,7715459879838190,AHDC0000046,jhanvi61@upi
Amani Hayre,6018-6991-4853-2308,95473323458757,AHDC0000047,mallickzara@upi
Rhea Mani,8121-5162-6610-5149,28197595717655,AHDC0000048,taimurjaggi@upi
Tejas Barman,5081-2912-4813-4823,7744964359719740,AHDC0000049,nakulandra@upi
Anahi Kala,6562-8798-5082-3471,2332558294101140,AHDC0000050,kashyaptarini@upi
Biju Wadhwa,3569-2726-8316-1758,31643075071959,AHDC0000051,kramachandran@upi
Dhanush Tiwari,3539-3274-0507-2217,4891302213596910,AHDC0000053,rbuch@upi
Renee Deo,6058-9207-9908-1085,91768088014115,AHDC0000054,bedinakul@upi
Arhaan Bahl,6045-9682-1127-2325,5229858226907020,AHDC0000055,sumercheema@upi
Lavanya Deshpande,6514-9700-7325-5754,977846985130299,AHDC0000056,mohanlal59@upi
Jayan Issac,3539-2486-9529-4297,222939357981823,AHDC0000057,tara66@upi
Samar Soman,6070-7977-5764-0514,429740609392158,AHDC0000058,trishasaraf@upi
Suhana Chacko,6050-0810-6832-2276,7299980073407780,AHDC0000059,ubatra@upi
Gatik Vig,3562-8847-3187-2892,486850915708080,AHDC0000060,jbhakta@upi
Emir Karnik,6004-7997-1919-0324,48217478869774,AHDC0000062,odate@upi
Zoya Rao,5088-7542-3419-5077,9152469436256100,AHDC0000063,bassizain@upi
Veer Kuruvilla,5087-6323-4197-2110,74731946147115,AHDC0000064,mishamand@upi
Myra Bansal,6071-2296-4930-0395,63173199993860,AHDC0000065,mohanlal48@upi
Taran Sibal,6027-7979-9095-9535,182310544401336,AHDC0000066,rasha58@upi
Lakshay Dubey,8228-2878-1937-4069,2682841278351340,AHDC0000067,masterela@upi
Yasmin Keer,5080-3338-0647-8084,75764921990475,AHDC0000068,dhruvreddy@upi
Ivana Keer,5084-3310-9672-2522,444744861819501,AHDC0000069,somakarsh@upi
Anaya Sane,5084-1888-1163-5714,41595356212071,AHDC0000070,lakshay84@upi
Pranay Bhasin,6550-7444-2450-2320,1756494005634690,AHDC0000071,hkurian@upi
Pihu Ben,3534-3083-1629-7015,79447473251317,AHDC0000072,ivanmadan@upi
Tejas Kalita,8104-2414-6429-9914,54165381453222,AHDC0000073,tbuch@upi
Amani Gandhi,8246-1431-7900-0935,81773548605460,AHDC0000074,miraya55@upi
Himmat Ramachandran,8172-0605-1284-0538,78658056015804,AHDC0000075,shray46@upi
Zeeshan Apte,3569-0383-3567-1258,5546368558004790,AHDC0000076,dadafateh@upi
Vardaniya Sarin,8187-1405-9550-9763,1466593082382800,AHDC0000077,malhotrajayesh@upi
Vardaniya Sarin,5088-1603-5695-2750,2927879225491330,AHDC0000078,sodhiadvika@upi
Priyansh Anand,8207-4175-6719-9088,1757696123667720,AHDC0000079,dasdevansh@upi
Reyansh Choudhry,6585-9829-4928-9143,59119956865548,AHDC0000080,bansalfarhan@upi
Samar Kulkarni,3568-1555-8480-7242,4723543448734670,AHDC0000081,yashvi20@upi
Anahita Yohannan,6574-1130-5908-6755,261673259075031,AHDC0000082,blanka@upi
Shanaya Cherian,8124-8232-5549-3990,7439634656526750,AHDC0000083,gokul14@upi
Anvi Chopra,8276-8505-7796-8843,186517834246028,AHDC0000084,ganesanonkar@upi
Dhruv Garde,6013-5576-5040-2028,15787192900656,AHDC0000085,bansalyuvraj@upi
Nirvaan Babu,6007-8129-9202-9783,789659131066724,AHDC0000086,sahniyasmin@upi
Zaina Suresh,5085-4750-0573-3119,9827257144741440,AHDC0000087,shalvkakar@upi
Biju Buch,3534-7714-3741-9372,593185738060175,AHDC0000088,oorja67@upi
Drishya Goyal,3535-5567-1362-8013,9693502598635410,AHDC0000089,zainborde@upi
